DATE,TB3MS
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
2021-06-01,0.04
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.06
2022-01-01,0.15
2022-02-01,0.33
2022-03-01,0.44
2022-04-01,0.76
2022-05-01,0.98
2022-06-01,1.49
2022-07-01,2.23
2022-08-01,2.63
2022-09-01,3.13
2022-10-01,3.72
2022-11-01,4.15
2022-12-01,4.25
2023-01-01,4.54
2023-02-01,4.65
2023-03-01,4.69
2023-04-01,4.92
2023-05-01,5.14
2023-06-01,5.16
2023-07-01,5.25
2023-08-01,5.30
2023-09-01,5.32
2023-10-01,5.34
2023-11-01,5.27
2023-12-01,5.24
2024-01-01,5.22
2024-02-01,5.24
2024-03-01,5.24
2024-04-01,5.24
2024-05-01,5.25
2024-06-01,5.24
2024-07-01,5.20
2024-08-01,5.05
2024-09-01,4.72
2024-10-01,4.51
2024-11-01,4.42
2024-12-01,4.27
2025-01-01,4.21
2025-02-01,4.22
2025-03-01,4.20
2025-04-01,4.21
2025-05-01,4.25
2025-06-01,4.23
2025-07-01,4.25
2025-08-01,4.12
2025-09-01,3.92
2025-10-01,3.82
2025-11-01,3.78
2025-12-01,3.59
2026-01-01,3.57
2026-02-01,3.60
2026-03-01,3.61 
