Asset_Name,Category,Raw_Calmar_Ratio,Normalized_Calmar_Score_1_10
WMT,Individual Stocks,1.06561832898318,10.0
NVDA,Individual Stocks,1.0366787488877285,9.59
GLD,Commodity ETFs (Metals),1.0345092386538879,9.18
DBA,Commodity ETFs (Agriculture),1.01194632754811,8.77
XLU,Sector ETFs,0.614858344328969,8.36
IBIT,Crypto ETFs,0.5544812808887953,7.95
AAPL,Individual Stocks,0.5327450159700176,7.55
SPY,Broad Market ETFs,0.5313376337794008,7.14
SLV,Commodity ETFs (Metals),0.5236736228875724,6.73
JNJ,Individual Stocks,0.4683937407839208,6.32
VTI,Broad Market ETFs,0.43142590035500217,5.91
PPLT,Commodity ETFs (Metals),0.33770120066141446,5.5
MSFT,Individual Stocks,0.31797567021145623,5.09
AMD,Individual Stocks,0.29548089520126786,4.68
LOW,Individual Stocks,0.23735717444469712,4.27
SOYB,Commodity ETFs (Agriculture),0.14503203047368035,3.86
HD,Individual Stocks,0.14323812713818238,3.45
TSLA,Individual Stocks,0.10123949149874173,3.05
AMZN,Individual Stocks,0.09875075133587952,2.64
WEAT,Commodity ETFs (Agriculture),-0.0917096019975352,2.23
PALL,Commodity ETFs (Metals),-0.1411542340424004,1.82
ETHA,Crypto ETFs,-0.4461125746993191,1.41
BITW,Crypto ETFs,-2.564818584672202,1.0
