Asset_Name,Category,Raw_Real_Return_%,Normalized_Inflation_Score_1_10
NVDA,Individual Stocks,1196.974960392909,10.0
WMT,Individual Stocks,148.66324142149645,9.59
SLV,Commodity ETFs (Metals),118.51940812870546,9.18
AMD,Individual Stocks,113.2800167159049,8.77
GLD,Commodity ETFs (Metals),107.44919938360027,8.36
AAPL,Individual Stocks,72.21416923180142,7.95
SPY,Broad Market ETFs,60.481934140275285,7.55
XLU,Sector ETFs,45.21094139342614,7.14
VTI,Broad Market ETFs,44.150940318119666,6.73
DBA,Commodity ETFs (Agriculture),40.74787242473501,6.32
PPLT,Commodity ETFs (Metals),40.07730249314179,5.91
MSFT,Individual Stocks,38.55401787859479,5.5
IBIT,Crypto ETFs,35.095223640095185,5.09
JNJ,Individual Stocks,29.64075057087417,4.68
LOW,Individual Stocks,20.98392863350494,4.27
TSLA,Individual Stocks,16.021128562824426,3.86
AMZN,Individual Stocks,4.803805238556794,3.45
HD,Individual Stocks,2.2617956042351324,3.05
SOYB,Commodity ETFs (Agriculture),-3.824529446324579,2.64
BITW,Crypto ETFs,-48.29639239163885,2.23
WEAT,Commodity ETFs (Agriculture),-51.26103738283251,1.82
ETHA,Crypto ETFs,-62.294006385950766,1.41
PALL,Commodity ETFs (Metals),-65.92579962277352,1.0
