Date,Open,High,Low,Close
02/13/2026,"67,334.31","67,334.31","67,334.31","67,334.31"
02/12/2026,"67,204.94","67,204.94","67,204.94","67,204.94"
02/11/2026,"68,286.92","68,286.92","68,286.92","68,286.92"
02/10/2026,"68,327.64","68,327.64","68,327.64","68,327.64"
02/09/2026,"68,525.00","68,525.00","68,525.00","68,525.00"
02/05/2026,"66,739.37","66,739.37","66,739.37","66,739.37"
02/04/2026,"67,643.78","67,643.78","67,643.78","67,643.78"
02/03/2026,"67,987.93","67,987.93","67,987.93","67,987.93"
02/02/2026,"68,481.32","68,481.32","68,481.32","68,481.32"
01/30/2026,"68,099.27","68,099.27","68,099.27","68,099.27"
01/29/2026,"68,491.49","68,491.49","68,491.49","68,491.49"
01/28/2026,"68,603.57","68,603.57","68,603.57","68,603.57"
01/27/2026,"68,653.27","68,653.27","68,653.27","68,653.27"
01/26/2026,"68,411.27","68,411.27","68,411.27","68,411.27"
01/23/2026,"68,131.79","68,131.79","68,131.79","68,131.79"
01/22/2026,"68,221.57","68,221.57","68,221.57","68,221.57"
01/21/2026,"67,838.49","67,838.49","67,838.49","67,838.49"
01/20/2026,"67,052.45","67,052.45","67,052.45","67,052.45"
01/16/2026,"68,408.35","68,408.35","68,408.35","68,408.35"
01/15/2026,"68,452.08","68,452.08","68,452.08","68,452.08"
01/14/2026,"68,257.21","68,257.21","68,257.21","68,257.21"
01/13/2026,"68,560.43","68,560.43","68,560.43","68,560.43"
01/12/2026,"68,684.68","68,684.68","68,684.68","68,684.68"
01/09/2026,"68,552.95","68,552.95","68,552.95","68,552.95"
01/08/2026,"68,104.85","68,104.85","68,104.85","68,104.85"
01/07/2026,"68,055.69","68,055.69","68,055.69","68,055.69"
01/06/2026,"68,302.22","68,302.22","68,302.22","68,302.22"
01/05/2026,"67,832.78","67,832.78","67,832.78","67,832.78"
01/02/2026,"67,320.47","67,320.47","67,320.47","67,320.47"
12/31/2025,"67,112.26","67,112.26","67,112.26","67,112.26"
12/30/2025,"67,629.63","67,629.63","67,629.63","67,629.63"
12/29/2025,"67,750.33","67,750.33","67,750.33","67,750.33"
12/26/2025,"68,011.76","68,011.76","68,011.76","68,011.76"
12/24/2025,"68,056.95","68,056.95","68,056.95","68,056.95"
12/23/2025,"67,847.04","67,847.04","67,847.04","67,847.04"
12/22/2025,"67,647.48","67,647.48","67,647.48","67,647.48"
12/19/2025,"67,174.75","67,174.75","67,174.75","67,174.75"
