Date,Open,High,Low,Close
02/13/2026,"68,525.00","68,525.00","67,204.94","67,334.31"
02/05/2026,"68,481.32","68,481.32","66,739.37","66,739.37"
01/30/2026,"68,411.27","68,653.27","68,099.27","68,099.27"
01/23/2026,"67,052.45","68,221.57","67,052.45","68,131.79"
01/16/2026,"68,684.68","68,684.68","68,257.21","68,408.35"
01/09/2026,"67,832.78","68,552.95","67,832.78","68,552.95"
01/02/2026,"67,750.33","67,750.33","67,112.26","67,320.47"
12/26/2025,"67,647.48","68,056.95","67,647.48","68,011.76"
12/19/2025,"66,984.63","67,174.75","66,055.67","67,174.75"
12/12/2025,"67,260.94","67,908.66","67,152.81","67,152.81"
12/05/2025,"66,829.48","67,500.77","66,829.48","67,500.77"
11/28/2025,"65,672.15","67,209.92","65,672.15","67,209.92"
11/21/2025,"65,244.75","65,244.75","63,968.09","64,664.32"
11/14/2025,"67,031.65","67,175.62","65,925.07","65,925.07"
11/07/2025,"67,257.00","67,257.00","65,931.65","66,071.82"
10/31/2025,"67,639.68","67,691.20","66,926.56","67,195.06"
10/24/2025,"66,340.47","66,882.57","65,899.92","66,882.57"
10/17/2025,"65,593.38","65,874.99","65,372.15","65,625.86"
10/10/2025,"66,443.89","66,547.49","64,525.21","64,525.21"
10/03/2025,"65,653.95","66,190.20","65,653.95","66,190.20"
09/26/2025,"66,068.97","66,068.97","65,072.36","65,474.44"
09/19/2025,"65,254.58","65,788.04","65,137.91","65,788.04"
09/12/2025,"64,113.27","65,061.26","64,113.27","64,948.63"
09/05/2025,"63,236.72","64,064.92","63,236.72","63,941.57"
08/29/2025,"63,372.40","64,058.37","63,372.40","63,645.32"
08/22/2025,"63,377.49","63,667.90","62,592.13","63,667.90"
08/15/2025,"62,537.92","63,596.67","62,537.92","63,349.11"
08/08/2025,"62,190.71","62,687.45","61,930.22","62,687.45"
08/01/2025,"62,840.79","62,840.79","61,258.28","61,258.28"
07/25/2025,"61,996.95","62,842.21","61,996.95","62,842.21"
07/18/2025,"61,679.62","61,972.07","61,343.79","61,964.76"
07/11/2025,"61,282.61","61,793.38","61,253.45","61,532.10"
07/03/2025,"60,950.81","61,795.33","60,920.57","61,795.33"
06/27/2025,"59,217.28","60,644.31","59,217.28","60,644.31"
06/20/2025,"59,270.11","59,270.11","58,657.98","58,657.98"
06/13/2025,"59,076.70","59,392.40","58,701.65","58,701.65"
06/06/2025,"58,264.66","59,012.20","58,264.66","59,012.20"
05/30/2025,"58,194.25","58,194.25","57,849.40","58,043.51"
05/23/2025,"58,594.37","58,594.37","57,001.07","57,001.07"
05/16/2025,"57,469.22","58,576.28","57,469.22","58,576.28"
05/09/2025,"55,474.91","55,666.06","55,032.44","55,626.90"
05/02/2025,"54,247.30","55,803.06","54,247.30","55,803.06"
04/25/2025,"50,551.61","54,185.59","50,551.61","54,185.59"
04/17/2025,"52,761.24","52,761.24","51,643.93","51,781.64"
04/11/2025,"49,550.91","53,387.60","48,710.29","52,390.21"
04/04/2025,"54,955.22","55,640.71","49,687.70","49,687.70"
03/28/2025,"56,706.15","56,749.38","54,723.72","54,723.72"
03/21/2025,"55,696.41","55,736.72","55,087.32","55,620.02"
03/14/2025,"54,964.86","55,270.78","54,081.73","55,270.78"
03/07/2025,"57,447.94","57,447.94","56,291.99","56,566.27"
02/28/2025,"58,835.28","58,835.28","57,645.22","58,541.45"
02/21/2025,"60,606.60","60,665.62","59,147.26","59,147.26"
