Date,Open,High,Low,Close ,Adj Close ,Volume
9-Feb-26,"69,374.58","70,008.99","68,247.22","68,334.79","68,334.79",-
2-Feb-26,"69,262.99","69,825.58","67,782.58","69,374.58","69,374.58",-
26-Jan-26,"69,241.26","70,042.10","68,684.11","69,262.99","69,262.99",-
19-Jan-26,"69,510.77","69,547.23","68,061.84","69,241.26","69,241.26",-
12-Jan-26,"69,650.95","69,885.41","68,932.81","69,510.77","69,510.77",-
5-Jan-26,"68,433.15","69,760.54","68,433.15","69,650.95","69,650.95",-
29-Dec-25,"69,099.74","69,099.74","68,077.17","68,433.15","68,433.15",-
22-Dec-25,"68,222.90","69,231.54","68,222.90","69,099.74","69,099.74",-
15-Dec-25,"68,208.25","68,533.44","67,095.69","68,222.90","68,222.90",-
8-Dec-25,"68,559.98","69,003.84","67,967.51","68,208.25","68,208.25",-
1-Dec-25,"68,336.33","68,836.02","67,821.46","68,559.98","68,559.98",-
24-Nov-25,"65,773.60","68,349.39","65,773.60","68,336.33","68,336.33",-
17-Nov-25,"67,037.90","67,382.84","64,910.91","65,773.60","65,773.60",-
10-Nov-25,"67,130.77","68,519.32","66,182.75","67,037.90","67,037.90",-
3-Nov-25,"68,237.11","68,564.47","66,104.45","67,130.77","67,130.77",-
27-Oct-25,"67,915.61","68,995.46","67,915.61","68,237.11","68,237.11",-
20-Oct-25,"66,609.88","68,088.43","66,482.67","67,915.61","67,915.61",-
13-Oct-25,"65,495.26","67,360.25","65,495.26","66,609.88","66,609.88",-
6-Oct-25,"67,182.83","67,628.83","65,478.60","65,495.26","65,495.26",-
29-Sep-25,"66,455.07","67,542.04","66,363.99","67,182.83","67,182.83",-
22-Sep-25,"66,744.64","67,118.75","65,689.95","66,455.07","66,455.07",-
15-Sep-25,"65,909.69","66,807.49","65,588.49","66,744.64","66,744.64",-
8-Sep-25,"64,961.26","66,086.58","64,947.29","65,909.69","65,909.69",-
1-Sep-25,"64,683.39","65,461.14","63,705.34","64,961.26","64,961.26",-
25-Aug-25,"64,699.20","65,150.80","64,338.45","64,683.39","64,683.39",-
18-Aug-25,"64,366.47","64,826.09","63,312.09","64,699.20","64,699.20",-
11-Aug-25,"63,684.84","64,674.54","63,439.76","64,366.47","64,366.47",-
4-Aug-25,"62,243.08","63,766.26","62,243.08","63,684.84","63,684.84",-
28-Jul-25,"63,834.25","64,085.59","61,948.57","62,243.08","62,243.08",-
21-Jul-25,"62,947.54","63,898.48","62,757.30","63,834.25","63,834.25",-
14-Jul-25,"62,540.23","63,148.85","61,914.34","62,947.54","62,947.54",-
7-Jul-25,"62,778.98","62,911.95","61,973.44","62,540.23","62,540.23",-
30-Jun-25,"61,629.24","62,821.22","61,629.24","62,778.98","62,778.98",-
23-Jun-25,"59,614.18","61,803.24","59,321.78","61,629.24","61,629.24",-
16-Jun-25,"59,645.23","60,399.50","59,457.75","59,614.18","59,614.18",-
9-Jun-25,"59,984.78","60,579.50","59,511.32","59,645.23","59,645.23",-
2-Jun-25,"58,996.79","60,123.97","58,452.89","59,984.78","59,984.78",-
26-May-25,"57,933.48","59,313.64","57,933.48","58,996.79","58,996.79",-
19-May-25,"59,535.56","59,603.27","57,579.74","57,933.48","57,933.48",-
12-May-25,"56,545.84","59,535.61","56,545.84","59,535.56","59,535.56",-
5-May-25,"56,727.78","57,137.26","55,668.08","56,545.84","56,545.84",-
28-Apr-25,"55,092.85","56,872.15","54,173.66","56,727.78","56,727.78",-
21-Apr-25,"52,644.74","55,124.08","50,847.65","55,092.85","55,092.85",-
14-Apr-25,"53,283.02","54,243.38","51,970.42","52,644.74","52,644.74",-
7-Apr-25,"50,558.95","54,511.14","48,128.27","53,283.02","53,283.02",-
31-Mar-25,"55,689.87","56,842.92","50,515.37","50,558.95","50,558.95",-
24-Mar-25,"56,595.61","57,857.09","55,589.39","55,689.87","55,689.87",-
17-Mar-25,"56,252.06","57,108.56","55,889.02","56,595.61","56,595.61",-
